latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,azimuth_diff,elevation_diff,,,,,
50.5181235,14.97295864,4.781003771,90,6.516002535,239,0,0,,,,,
50.51812304,14.97297272,4.369286658,90,6.173862416,239,0,0,,,,,
50.51812233,14.97298678,3.300072168,90,8.064468261,239,1.775279303,0,,,,,
50.51811966,14.97299995,2.165336616,90,7,239,24.2487257,0,,,,,
50.51811531,14.97301229,1.030601063,90,7,239,0,0,,,,,
50.51811137,14.97302495,0.559303964,90,6.736780171,239,4.203354876,0,,,,,
50.51810747,14.97303765,0.481068546,90,6.820798374,238.8943252,2.56902244,-0.105674758,,,,,
50.51810334,14.97305018,0.584710442,90,7.684987273,238.6096513,0,-0.28467399,,,,,
50.51809921,14.9730627,0.688352338,90,8.549176172,238.3249773,0,-0.28467399,,,,,
50.51809508,14.97307523,0.791994234,90,9.413365071,238.0403033,0,-0.28467399,,,,,
50.51809096,14.97308775,0.895636129,50,10.27755397,237.7556293,0,-0.28467399,,,,,
50.51808683,14.97310028,0.999278025,50,11.14174287,237.4709553,0,-0.28467399,,,,,
50.5180827,14.9731128,1.102919921,50,12.00593177,237.1862813,0,-0.28467399,,,,,
50.51808309,14.97312143,1.206561817,50,12.57142857,237,112.2603587,-0.1862813,,,,,
50.51809205,14.97312268,1.310203713,50,12.57142857,237,0,0,,,,,
50.518101,14.97312392,1.413845609,50,12.57142857,237,0,0,,,,,
50.51810996,14.97312517,1.517487505,50,12.57142857,237,0,0,,,,,
50.51811891,14.97312642,1.621129401,50,12.57142857,237,0,0,,,,,
50.51812787,14.97312767,1.724771297,50,12.57142857,237,0,0,,,,,
50.51813682,14.97312891,1.828413193,50,12.57142857,237,0,0,,,,,
50.51814578,14.97313016,1.932055089,50,12.57142857,237,0,0,,,,,
50.51815473,14.97313141,2.035696985,50,12.57142857,237,0,0,,,,,
50.51816367,14.97313282,2.139338881,50,11.72700411,237,1.346309239,0,,,,,
50.51817261,14.9731344,2.242980776,50,10.11300719,237,0,0,,,,,
50.51818155,14.9731358,2.346622672,50,9.58218023,236.9269509,1.14717158,-0.073049094,,,,,
50.5181905,14.9731371,2.450264568,50,9.714687723,236.8091665,0,-0.117784438,,,,,
50.51819945,14.97313839,2.553906464,50,9.847195215,236.691382,0,-0.117784438,,,,,
50.51820841,14.97313969,2.65754836,50,9.979702708,236.5735976,0,-0.117784438,,,,,
50.51821736,14.97314099,2.761190256,50,10.1122102,236.4558132,0,-0.117784438,,,,,
50.51822631,14.97314228,2.864832152,50,10.24471769,236.3380287,0,-0.117784438,,,,,
50.51823526,14.97314358,2.968474048,50,10.37722519,236.2202443,0,-0.117784438,,,,,
50.51824421,14.97314487,3.072115944,50,10.50973268,236.1024598,0,-0.117784438,,,,,
50.51825317,14.97314616,3.17575784,50,10.6355211,236,0.413324253,-0.102459842,,,,,
50.51826212,14.97314735,3.279399736,50,10.71638601,236,0,0,,,,,
50.51827108,14.97314854,3.383041632,50,10.79725091,236,0,0,,,,,
50.51828004,14.97314974,3.486683528,50,10.87811581,236,0,0,,,,,
50.51828899,14.97315093,3.590325423,50,10.95898072,236,0,0,,,,,
50.51829795,14.97315213,3.693967319,50,11.03984562,236,0,0,,,,,
50.51830691,14.97315332,3.797609215,50,11.12071053,236,0,0,,,,,
50.51831586,14.97315456,3.901251111,50,11.15943063,236,0.46149886,0,,,,,
50.51832481,14.97315587,4.004893007,50,11.14266861,236,0,0,,,,,
50.51833377,14.97315718,4.108534903,50,11.12590659,236,0,0,,,,,
50.51834272,14.97315849,4.212176799,50,11.10914457,236,0,0,,,,,
50.51835167,14.97315979,4.315818695,50,11.09238254,236,0,0,,,,,
50.51836062,14.9731611,4.419460591,50,11.07562052,236,0,0,,,,,
50.51836957,14.97316241,4.523102487,50,11.0588585,236,0,0,,,,,
50.51837852,14.97316372,4.626744383,50,11.04209648,236,0,0,,,,,
50.51838747,14.97316502,4.730386279,50,11.02533446,236,0,0,,,,,
50.51839642,14.97316633,4.834028174,50,11.00857244,236,0,0,,,,,
50.51840537,14.97316765,4.93767007,50,11.04416977,236,0.060096745,0,,,,,
50.51841432,14.97316897,5.041311966,50,11.13457421,236,0,0,,,,,
50.51842327,14.97317029,5.144953862,50,11.22497866,236,0,0,,,,,
50.51843222,14.97317161,5.248595758,50,11.3153831,236,0,0,,,,,
50.51844117,14.97317293,5.352237654,50,11.40578755,236,0,0,,,,,
50.51845012,14.97317426,5.45587955,50,11.49619199,236,0,0,,,,,
50.51845907,14.97317558,5.559521446,50,11.58659643,236,0,0,,,,,
50.51846802,14.9731769,5.663163342,50,11.67700088,236,0,0,,,,,
50.51847697,14.97317822,5.766805238,50,11.76740532,236,0,0,,,,,
50.51848592,14.97317955,5.870447134,50,11.85780977,236,0,0,,,,,
50.51849488,14.97318074,5.97408903,50,11.16198703,236,0.823976596,0,,,,,
50.51850386,14.97318135,6.077730926,50,10.9,236,2.693473929,0,,,,,
50.51851284,14.97318181,6.181372821,50,10.9,236,0,0,,,,,
50.51852183,14.97318227,6.285014717,50,10.9,236,0,0,,,,,
50.51853081,14.97318273,6.388656613,50,10.9,236,0,0,,,,,
